id,event_id,innings,overs,ball_no,match_ball_no,innings_runs,innings_wickets,innings_target,innings_remaining_runs,innings_remaining_balls,run_rate_required,bowler_id,batter_id,batter_balls_faced,batter_runs,nonstriker_id,nonstriker_balls_faced,nonstriker_runs,outcome,wickets_lost,wicket_how,date,text,short_text,home_score,away_score,score_value,sequence,bbb_timestamp,play_type_id,bowler_name,bowler_short_name,bowler_full_name,bowler_team_id,bowler_team_name,bowler_maidens,bowler_balls,bowler_wickets,bowler_overs,bowler_conceded,batsman_striker_name,batsman_striker_short_name,batsman_striker_full_name,batsman_striker_team_id,batsman_striker_team_name,batsman_striker_fours,batsman_striker_sixes,batsman_striker_runs,batsman_nonstriker_name,batsman_nonstriker_short_name,batsman_nonstriker_full_name,batsman_nonstriker_team_id,batsman_nonstriker_team_name,batsman_nonstriker_fours,batsman_nonstriker_sixes,batsman_nonstriker_runs,innings_id,innings_run_rate,innings_byes,innings_number,innings_no_balls,innings_leg_byes,innings_ball_limit,innings_session,innings_day,innings_remaining_overs,innings_total_runs,innings_wides,over_balls,over_complete,over_limit,over_maiden,over_no_ball,over_byes,over_leg_byes,over_number,over_runs,over_wickets,over_actual,over_unique,dismissal_dismissal,dismissal_bowled,dismissal_minutes,dismissal_bowler_id,dismissal_bowler_name,dismissal_batsman_id,dismissal_batsman_name
110,226374,1.0,0.1,1.0,1.0,0.0,0.0,0.0,,119.0,,46774.0,5702.0,1.0,0.0,6513.0,0.0,0.0,no run,0.0,,2006-01-09T00:00Z,,"Pollock to Hopes, no run",0/0,0,0.0,100001.0,0.0,2,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,1.0,0.0,0.1,0.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,0.0,0.0,0.0,11323,0.0,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.5,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.1,0.01,False,False,0.0,46774.0,Shaun Pollock,5702.0,James Hopes
120,226374,1.0,0.2,2.0,2.0,0.0,0.0,0.0,,118.0,,46774.0,5702.0,2.0,0.0,6513.0,0.0,0.0,no run,0.0,,2006-01-09T00:00Z,"Pollock to Hopes, short and wide, Hopes plays and misses the ball, no runs","Pollock to Hopes, no run",0/0,0,0.0,100002.0,0.0,2,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,2.0,0.0,0.2,0.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,0.0,0.0,0.0,11323,0.0,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.4,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.2,0.02,False,False,0.0,46774.0,Shaun Pollock,5702.0,James Hopes
130,226374,1.0,0.3,3.0,3.0,0.0,0.0,0.0,,117.0,,46774.0,5702.0,3.0,0.0,6513.0,0.0,0.0,no run,0.0,,2006-01-09T00:00Z,"Pollock to Hopes, good line and just short of a length, Hopes plays and misses the ball, no runs, fielded by Boucher","Pollock to Hopes, no run",0/0,0,0.0,100003.0,0.0,2,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,3.0,0.0,0.3,0.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,0.0,0.0,0.0,11323,0.0,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.3,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.3,0.03,False,False,0.0,46774.0,Shaun Pollock,5702.0,James Hopes
140,226374,1.0,0.4,4.0,4.0,0.0,0.0,0.0,,116.0,,46774.0,5702.0,4.0,0.0,6513.0,0.0,0.0,no run,0.0,,2006-01-09T00:00Z,"Pollock to Hopes, good line and length delivery, Hopes defends it away, no runs, fielded by Pollock","Pollock to Hopes, no run",0/0,0,0.0,100004.0,0.0,2,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,4.0,0.0,0.4,0.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,0.0,0.0,0.0,11323,0.0,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.2,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.4,0.04,False,False,0.0,46774.0,Shaun Pollock,5702.0,James Hopes
150,226374,1.0,0.5,5.0,5.0,1.0,0.0,0.0,,115.0,,46774.0,5702.0,5.0,1.0,6513.0,0.0,0.0,run,0.0,,2006-01-09T00:00Z,"Pollock to Hopes, good line and length delivery, Hopes pushes forward, runs it towards extra cover area, easy quick run to get off the mark,1 run","Pollock to Hopes, 1 run",1/0,0,1.0,100005.0,0.0,1,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,5.0,0.0,0.5,1.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,1.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,0.0,0.0,0.0,11323,1.2,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.1,1.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.5,0.05,False,False,0.0,46774.0,Shaun Pollock,5702.0,James Hopes
160,226374,1.0,0.6,6.0,6.0,5.0,0.0,0.0,,114.0,,46774.0,6513.0,1.0,4.0,5702.0,5.0,1.0,four,0.0,,2006-01-09T00:00Z,"Pollock to Martyn, good length but down leg, Martyn edges the ball as he plays the pull, gets the bottom edge and runs it fine of fine leg, 4 runs","Pollock to Martyn, FOUR",5/0,0,4.0,100006.0,0.0,3,Shaun Pollock,Pollock,Shaun Maclean Pollock,3.0,South Africa,0.0,6.0,0.0,1.0,5.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,1.0,0.0,4.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,11323,5.0,0.0,1.0,0.0,0.0,120.0,1.0,1.0,19.0,4.0,0.0,6.0,True,20.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.6,0.06,False,False,0.0,46774.0,Shaun Pollock,6513.0,Damien Martyn
11010,226374,1.0,1.1,1.0,7.0,5.0,0.0,0.0,,113.0,,45888.0,5702.0,6.0,1.0,6513.0,1.0,4.0,no run,0.0,,2006-01-09T00:00Z,"Kruger to Hopes, full toss, Hopes driving, mistimes to cover no runs, fielded by Botha","Kruger to Hopes, no run",5/0,0,0.0,100101.0,0.0,2,Garnett Kruger,Kruger,Garnett John-Peter Kruger,3.0,South Africa,0.0,1.0,0.0,0.1,0.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,1.0,0.0,0.0,11323,4.28,0.0,1.0,0.0,0.0,120.0,1.0,1.0,18.5,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.1,1.01,False,False,0.0,45888.0,Garnett Kruger,5702.0,James Hopes
11020,226374,1.0,1.2,2.0,8.0,6.0,0.0,0.0,,112.0,,45888.0,5702.0,7.0,2.0,6513.0,1.0,4.0,run,0.0,,2006-01-09T00:00Z,"Kruger to Hopes, too full and on the pads, Hopes keeps it out, 1 run, fielded by Kruger who follows up, kicks to the sumps, misses with Martyn well short","Kruger to Hopes, 1 run",6/0,0,1.0,100102.0,0.0,1,Garnett Kruger,Kruger,Garnett John-Peter Kruger,3.0,South Africa,0.0,2.0,0.0,0.2,1.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,1.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,1.0,0.0,0.0,11323,4.5,0.0,1.0,0.0,0.0,120.0,1.0,1.0,18.4,1.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.2,1.02,False,False,0.0,45888.0,Garnett Kruger,5702.0,James Hopes
11030,226374,1.0,1.3,3.0,9.0,7.0,0.0,0.0,,111.0,,45888.0,6513.0,2.0,5.0,5702.0,7.0,2.0,run,0.0,,2006-01-09T00:00Z,"Kruger to Martyn, too full and on the pads, Martyn drives it away, 1 run, fielded by Zondeki","Kruger to Martyn, 1 run",7/0,0,1.0,100103.0,0.0,1,Garnett Kruger,Kruger,Garnett John-Peter Kruger,3.0,South Africa,0.0,3.0,0.0,0.3,2.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,1.0,0.0,1.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,11323,4.66,0.0,1.0,0.0,0.0,120.0,1.0,1.0,18.3,1.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.3,1.03,False,False,0.0,45888.0,Garnett Kruger,6513.0,Damien Martyn
11040,226374,1.0,1.4,4.0,10.0,7.0,0.0,0.0,,110.0,,45888.0,5702.0,8.0,2.0,6513.0,2.0,5.0,no run,0.0,,2006-01-09T00:00Z,"Kruger to Hopes, good length delivery, Hopes defends it, no runs, fielded by Hall","Kruger to Hopes, no run",7/0,0,0.0,100104.0,0.0,2,Garnett Kruger,Kruger,Garnett John-Peter Kruger,3.0,South Africa,0.0,4.0,0.0,0.4,2.0,James Hopes,Hopes,James Redfern Hopes,2.0,Australia,0.0,0.0,0.0,Damien Martyn,Martyn,Damien Richard Martyn,2.0,Australia,1.0,0.0,0.0,11323,4.2,0.0,1.0,0.0,0.0,120.0,1.0,1.0,18.2,0.0,0.0,6.0,False,20.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.4,1.04,False,False,0.0,45888.0,Garnett Kruger,5702.0,James Hopes
